company,jobSummary,jobTitle,location,url 
UnitedHealth Group,"Na Optum, uma empresa do United Health Group, a expansão do acesso a um cuidado de saúde de custo acessível e de alta qualidade, começa aqui. A maioria das ideias mais inovadoras de cuidado de saúde é criada diariamente aqui. É aqui onde as pessoas ousadas com grandes ideias estão escrevendo o próximo capítulo na área da saúde. Aqui é o lugar para você fazer o melhor trabalho da sua vida.(sm)
,
,Responsabilidades:,
O especialista terá responsabilidades como focal técnico da equipe, ao qual irá pensar, agir e propor soluções técnicas na área de testes, além das seguintes atividades:
,
Analizar os requisitos do sistema e as especificações técnicas para criar e executar o planos e casos de testes de ponta a ponta juntamente com gerenciamento de defeitos;
,
Auxiliar os usuários na definição dos testes de aceitação, planos e casos de testes;
,
Participar das reuniões de grupo de inspeção, grupo de usuários e de revisão;
,
Trabalhar com usuários, analistas de sistemas, designers e programadores para criar e analisar os documentos requeridos pelo projeto;
,
Participar na verificação da implementação da produção e ser responsável por validar a qualidade do sistema;
,
Planejar, documentar, avaliar e rastrear os resultados dos testes para garantir que as aplicações do sistema estejam livres de defeitos;
,
Comunicar e interagir com áreas apropriadas em problemas e mudanças que podem impactar dados, fluxo de trabalho e/ou funcionalidade no software;
,
Estudar e analisar documentos de especificações de software para desenvolver cenários de teste;
,
Criar casos e testes de dados com suporte de planos de testes;
,
Além de outras atividades inerentes ao cargo
,
,Qualificações Preferidas:,
Grande experiência no mundo de testes;
,
Grande conhecimento nas principais ferramentas de testes do mercado;
,
Vivência como focal point de projetos/processos;
,
Graduação completa nas áreas de TI;
,
Conhecimento na metodologia Agile e UML
,
A diversidade cria ambientes mais saudáveis. Todos os candidatos qualificados serão considerados para as vagas, sem distinção de raça, cor, religião, gênero, idade, nacionalidade ou deficiência. O UnitedHealth Group é um empregador de Igualdade de Oportunidades de Emprego.
,
,palavras-chave:, e specialista de testes etl, linux, uml, ti, , tecnologia da informação,BI, SQL; PLSQL, Microstrategy, SSIS, SSAS and SSRS, ALM, Testes, SDLC, STLC, Curitiba, PR","Especialista de Testes - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=8474129bca70be2d&tk=1ca0uvfrn0nj30kc&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas.
,
Liderar projetos de robótica.
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;
,
Pós graduação em gerenciamento de projetos ou BI.","Analista Processos Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=8807ec7e83f6e970&tk=1ca0uvfta0nj32r3&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Na Optum, uma empresa do United Health Group, a expansão do acesso a um cuidado de saúde de custo acessível e de alta qualidade, começa aqui. A maioria das ideias mais inovadoras de cuidado de saúde é criada diariamente aqui. É aqui onde as pessoas ousadas com grandes ideias estão escrevendo o próximo capítulo na área da saúde. Aqui é o lugar para você fazer o melhor trabalho da sua vida.(sm)
,
,Responsabilidades:,
O especialista terá responsabilidades como focal técnico da equipe, ao qual irá pensar, agir e propor soluções técnicas na área de testes, além das seguintes atividades:
,
Analizar os requisitos do sistema e as especificações técnicas para criar e executar o planos e casos de testes de ponta a ponta juntamente com gerenciamento de defeitos;
,
Auxiliar os usuários na definição dos testes de aceitação, planos e casos de testes;
,
Participar das reuniões de grupo de inspeção, grupo de usuários e de revisão;
,
Trabalhar com usuários, analistas de sistemas, designers e programadores para criar e analisar os documentos requeridos pelo projeto;
,
Participar na verificação da implementação da produção e ser responsável por validar a qualidade do sistema;
,
Planejar, documentar, avaliar e rastrear os resultados dos testes para garantir que as aplicações do sistema estejam livres de defeitos;
,
Comunicar e interagir com áreas apropriadas em problemas e mudanças que podem impactar dados, fluxo de trabalho e/ou funcionalidade no software;
,
Estudar e analisar documentos de especificações de software para desenvolver cenários de teste;
,
Criar casos e testes de dados com suporte de planos de testes;
,
Além de outras atividades inerentes ao cargo
,
,Qualificações Preferidas:,
Grande experiência no mundo de testes;
,
Grande conhecimento nas principais ferramentas de testes do mercado;
,
Vivência como focal point de projetos/processos;
,
Graduação completa nas áreas de TI;
,
Conhecimento na metodologia Agile e UML
,
A diversidade cria ambientes mais saudáveis. Todos os candidatos qualificados serão considerados para as vagas, sem distinção de raça, cor, religião, gênero, idade, nacionalidade ou deficiência. O UnitedHealth Group é um empregador de Igualdade de Oportunidades de Emprego.
,
,palavras-chave:, e specialista de testes etl, linux, uml, ti, , tecnologia da informação,BI, SQL; PLSQL, Microstrategy, SSIS, SSAS and SSRS, ALM, Testes, SDLC, STLC, Curitiba, PR","Especialista de Testes - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=8474129bca70be2d&tk=1ca0uvg5f0nj36e0&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas.
,
Liderar projetos de robótica.
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;
,
Pós graduação em gerenciamento de projetos ou BI.","Analista Processos Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=8807ec7e83f6e970&tk=1ca0uvgeb0nj367f&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas .
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;","Analista Processos Pleno - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=42324d40bb3b67c2&tk=1ca0uvgaa0nj32ue&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas .
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;","Analista Processos Pleno - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=42324d40bb3b67c2&tk=1ca0uvgpt0nj307f&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas .
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;","Analista Processos Pleno - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=42324d40bb3b67c2&tk=1ca0uvh030nj34al&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Na Optum, uma empresa do United Health Group, a expansão do acesso a um cuidado de saúde de custo acessível e de alta qualidade, começa aqui. A maioria das ideias mais inovadoras de cuidado de saúde é criada diariamente aqui. É aqui onde as pessoas ousadas com grandes ideias estão escrevendo o próximo capítulo na área da saúde. Aqui é o lugar para você fazer o melhor trabalho da sua vida.(sm)
,
,Responsabilidades:,
O especialista terá responsabilidades como focal técnico da equipe, ao qual irá pensar, agir e propor soluções técnicas na área de testes, além das seguintes atividades:
,
Analizar os requisitos do sistema e as especificações técnicas para criar e executar o planos e casos de testes de ponta a ponta juntamente com gerenciamento de defeitos;
,
Auxiliar os usuários na definição dos testes de aceitação, planos e casos de testes;
,
Participar das reuniões de grupo de inspeção, grupo de usuários e de revisão;
,
Trabalhar com usuários, analistas de sistemas, designers e programadores para criar e analisar os documentos requeridos pelo projeto;
,
Participar na verificação da implementação da produção e ser responsável por validar a qualidade do sistema;
,
Planejar, documentar, avaliar e rastrear os resultados dos testes para garantir que as aplicações do sistema estejam livres de defeitos;
,
Comunicar e interagir com áreas apropriadas em problemas e mudanças que podem impactar dados, fluxo de trabalho e/ou funcionalidade no software;
,
Estudar e analisar documentos de especificações de software para desenvolver cenários de teste;
,
Criar casos e testes de dados com suporte de planos de testes;
,
Além de outras atividades inerentes ao cargo
,
,Qualificações Preferidas:,
Grande experiência no mundo de testes;
,
Grande conhecimento nas principais ferramentas de testes do mercado;
,
Vivência como focal point de projetos/processos;
,
Graduação completa nas áreas de TI;
,
Conhecimento na metodologia Agile e UML
,
A diversidade cria ambientes mais saudáveis. Todos os candidatos qualificados serão considerados para as vagas, sem distinção de raça, cor, religião, gênero, idade, nacionalidade ou deficiência. O UnitedHealth Group é um empregador de Igualdade de Oportunidades de Emprego.
,
,palavras-chave:, e specialista de testes etl, linux, uml, ti, , tecnologia da informação,BI, SQL; PLSQL, Microstrategy, SSIS, SSAS and SSRS, ALM, Testes, SDLC, STLC, Curitiba, PR","Especialista de Testes - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=8474129bca70be2d&tk=1ca0uvhdv0nj33a3&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas .
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;","Analista Processos Pleno - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=42324d40bb3b67c2&tk=1ca0uvhs80nj3309&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Na Optum, uma empresa do United Health Group, a expansão do acesso a um cuidado de saúde de custo acessível e de alta qualidade, começa aqui. A maioria das ideias mais inovadoras de cuidado de saúde é criada diariamente aqui. É aqui onde as pessoas ousadas com grandes ideias estão escrevendo o próximo capítulo na área da saúde. Aqui é o lugar para você fazer o melhor trabalho da sua vida.(sm)
,
,Responsabilidades:,
O especialista terá responsabilidades como focal técnico da equipe, ao qual irá pensar, agir e propor soluções técnicas na área de testes, além das seguintes atividades:
,
Analizar os requisitos do sistema e as especificações técnicas para criar e executar o planos e casos de testes de ponta a ponta juntamente com gerenciamento de defeitos;
,
Auxiliar os usuários na definição dos testes de aceitação, planos e casos de testes;
,
Participar das reuniões de grupo de inspeção, grupo de usuários e de revisão;
,
Trabalhar com usuários, analistas de sistemas, designers e programadores para criar e analisar os documentos requeridos pelo projeto;
,
Participar na verificação da implementação da produção e ser responsável por validar a qualidade do sistema;
,
Planejar, documentar, avaliar e rastrear os resultados dos testes para garantir que as aplicações do sistema estejam livres de defeitos;
,
Comunicar e interagir com áreas apropriadas em problemas e mudanças que podem impactar dados, fluxo de trabalho e/ou funcionalidade no software;
,
Estudar e analisar documentos de especificações de software para desenvolver cenários de teste;
,
Criar casos e testes de dados com suporte de planos de testes;
,
Além de outras atividades inerentes ao cargo
,
,Qualificações Preferidas:,
Grande experiência no mundo de testes;
,
Grande conhecimento nas principais ferramentas de testes do mercado;
,
Vivência como focal point de projetos/processos;
,
Graduação completa nas áreas de TI;
,
Conhecimento na metodologia Agile e UML
,
A diversidade cria ambientes mais saudáveis. Todos os candidatos qualificados serão considerados para as vagas, sem distinção de raça, cor, religião, gênero, idade, nacionalidade ou deficiência. O UnitedHealth Group é um empregador de Igualdade de Oportunidades de Emprego.
,
,palavras-chave:, e specialista de testes etl, linux, uml, ti, , tecnologia da informação,BI, SQL; PLSQL, Microstrategy, SSIS, SSAS and SSRS, ALM, Testes, SDLC, STLC, Curitiba, PR","Especialista de Testes - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=8474129bca70be2d&tk=1ca0uvhsr0nj3575&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas.
,
Liderar projetos de robótica.
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;
,
Pós graduação em gerenciamento de projetos ou BI.","Analista Processos Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=8807ec7e83f6e970&tk=1ca0uvhuj0nj3612&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas .
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;","Analista Processos Pleno - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=42324d40bb3b67c2&tk=1ca0uvi3v0nj30ka&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas.
,
Liderar projetos de robótica.
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;
,
Pós graduação em gerenciamento de projetos ou BI.","Analista Processos Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=8807ec7e83f6e970&tk=1ca0uvhvn0nj354k&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas .
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;","Analista Processos Pleno - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=42324d40bb3b67c2&tk=1ca0uvicg0nj32rc&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas.
,
Liderar projetos de robótica.
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;
,
Pós graduação em gerenciamento de projetos ou BI.","Analista Processos Senior - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=8807ec7e83f6e970&tk=1ca0uvij00nj35pd&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Na Optum, uma empresa do United Health Group, a expansão do acesso a um cuidado de saúde de custo acessível e de alta qualidade, começa aqui. A maioria das ideias mais inovadoras de cuidado de saúde é criada diariamente aqui. É aqui onde as pessoas ousadas com grandes ideias estão escrevendo o próximo capítulo na área da saúde. Aqui é o lugar para você fazer o melhor trabalho da sua vida.(sm)
,
,Responsabilidades:,
O especialista terá responsabilidades como focal técnico da equipe, ao qual irá pensar, agir e propor soluções técnicas na área de testes, além das seguintes atividades:
,
Analizar os requisitos do sistema e as especificações técnicas para criar e executar o planos e casos de testes de ponta a ponta juntamente com gerenciamento de defeitos;
,
Auxiliar os usuários na definição dos testes de aceitação, planos e casos de testes;
,
Participar das reuniões de grupo de inspeção, grupo de usuários e de revisão;
,
Trabalhar com usuários, analistas de sistemas, designers e programadores para criar e analisar os documentos requeridos pelo projeto;
,
Participar na verificação da implementação da produção e ser responsável por validar a qualidade do sistema;
,
Planejar, documentar, avaliar e rastrear os resultados dos testes para garantir que as aplicações do sistema estejam livres de defeitos;
,
Comunicar e interagir com áreas apropriadas em problemas e mudanças que podem impactar dados, fluxo de trabalho e/ou funcionalidade no software;
,
Estudar e analisar documentos de especificações de software para desenvolver cenários de teste;
,
Criar casos e testes de dados com suporte de planos de testes;
,
Além de outras atividades inerentes ao cargo
,
,Qualificações Preferidas:,
Grande experiência no mundo de testes;
,
Grande conhecimento nas principais ferramentas de testes do mercado;
,
Vivência como focal point de projetos/processos;
,
Graduação completa nas áreas de TI;
,
Conhecimento na metodologia Agile e UML
,
A diversidade cria ambientes mais saudáveis. Todos os candidatos qualificados serão considerados para as vagas, sem distinção de raça, cor, religião, gênero, idade, nacionalidade ou deficiência. O UnitedHealth Group é um empregador de Igualdade de Oportunidades de Emprego.
,
,palavras-chave:, e specialista de testes etl, linux, uml, ti, , tecnologia da informação,BI, SQL; PLSQL, Microstrategy, SSIS, SSAS and SSRS, ALM, Testes, SDLC, STLC, Curitiba, PR","Especialista de Testes - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=8474129bca70be2d&tk=1ca0uvih70nj316b&from=serp&alid=3&advn=3303391347378714
UnitedHealth Group,"Vamos falar de impacto! A Amil, parte da família de empresas do UnitedHealth Group, conta com uma equipe de profissionais de alto nível trabalhando em conjunto para ajudar as pessoas a viverem vidas mais saudáveis. A empresa oferece uma ampla variedade de planos de assistência médico-hospitalar e odontológica que proporcionam, aos seus mais de 5,9 milhões de beneficiários, acesso a serviços de alta qualidade. A Amil também possui uma extensa rede credenciada no país, que abrange cerca de 31,8 mil serviços de saúde, entre hospitais, consultórios, clínicas médicas, laboratórios e centros de diagnóstico por imagem. Se você busca maior impacto e mais desafio, a Amil é o lugar certo. É a oportunidade para realizar o melhor trabalho de sua vida. SM
,
,Responsabilidades:,
Interagir com as áreas de Operações para identificar oportunidades de melhoria de processos, entender as necessidades e transformá-las em requisitos, sugerir a melhor alternativa com base no seu conhecimento técnico e criar a solução criando ferramentas adequadas .
,
,Qualificações Necessárias:,
Curso superior completo (Programação, Ciência da Computação, Sistemas de Informação);
,
Necessário conhecimento de programação;
,
Necessário conhecimento em lógica de programação;
,
Microsoft Excel;
,
Inglês técnico.
,
,Qualificações Desejáveis:,
Experiência com robótica;","Analista Processos Pleno - São Paulo, SP","São Paulo, SP",https://www.indeed.com.br/ver-emprego?jk=42324d40bb3b67c2&tk=1ca0uvivc0nj34ur&from=serp&alid=3&advn=3303391347378714
